unit_number,unit_name,latin_term,latin_genitive,part_of_speech,gender,english_translation,english_definition,german_translation,german_definition,slovak_translation,slovak_definition,notes
3,3rd consonant declension,tuba audītīva,tubae audītīvae,Noun,feminine,auditory tube,,die Ohrtrompete,,sluchová trubica,,
3,3rd consonant declension,tuber,tuberis,Noun,neuter,"tuber, protuberance",,der Höcker,,hrbol,,
3,3rd consonant declension,tumor,tumōris,Noun,masculine,tumour,,der Tumor,,nádor,,
3,3rd consonant declension,ulcus,ulceris,Noun,neuter,ulcer,,das Ulkus,,vred,,
3,3rd consonant declension,ūrēthra,ūrēthrae,Noun,feminine,urethra,canal carrying urine from the bladder,die Harnröhre,,močová rúra,,
3,3rd consonant declension,vās,vāsis,Noun,neuter,vessel,,das Gefäß,,cieva,,
3,3rd consonant declension,viscera,viscerum,Noun,neuter plural,"viscera, internal organs",,die Eingeweide,,vnútornosti,,
3,3rd consonant declension,vitium,vitiī,Noun,neuter,defect,,der Defekt,,vada,,
3,3rd consonant declension,vulnus,vulneris,Noun,neuter,wound,,die Wunde,,rana,,

4,3rd latin vowel-declension,"accessorius, accessoria, accessorium",,Adjective,,accessory,,akzessorisch,,prídavný,,
4,3rd latin vowel-declension,ante,,Preposition,,before,,vor,,pred,,Acc.
4,3rd latin vowel-declension,ars,artis,Noun,feminine,art / science,,die Kunst,,umenie / veda,,
4,3rd latin vowel-declension,auris,auris,Noun,feminine,ear,,das Ohr,,ucho,,
4,3rd latin vowel-declension,calcar,calcaris,Noun,neuter,spur,"spur-like process",der Sporn,,ostroha,,
4,3rd latin vowel-declension,canalis,canalis,Noun,masculine,channel / duct,,der Kanal,,kanál,,
4,3rd latin vowel-declension,causa,causae,Noun,feminine,cause,,die Ursache,,príčina,,
4,3rd latin vowel-declension,cerebellum,cerebelli,Noun,neuter,cerebellum,"posterior brain mass",das Kleinhirn,,mozoček,,
4,3rd latin vowel-declension,"completus, completa, completum",,Adjective,,complete,,vollständig,,úplný,,
